Species	Pigment_gone	Photoreceptor_cell	Image_number	Direction	Angle
Wendtii	No	Wendtii_pigment_3	170	Right	22.73
Wendtii	No	Wendtii_pigment_4	0	Right	33.75
Wendtii	No	Wendtii_pigment_4	10	Right	35.4
Wendtii	No	Wendtii_pigment_4	20	Right	34.41
Wendtii	No	Wendtii_pigment_4	30	Right	32.66
Wendtii	No	Wendtii_pigment_4	40	Right	28.48
Wendtii	No	Wendtii_pigment_4	50	Right	32.84
Wendtii	No	Wendtii_pigment_4	60	Right	33.71
Wendtii	No	Wendtii_pigment_4	70	Right	32.61
Wendtii	No	Wendtii_pigment_4	80	Right	28.77
Wendtii	No	Wendtii_pigment_4	90	Right	29.06
Wendtii	No	Wendtii_pigment_4	100	Right	31.12
Wendtii	No	Wendtii_pigment_4	110	Right	29.09
Wendtii	No	Wendtii_pigment_4	120	Right	33.37
Wendtii	No	Wendtii_pigment_4	130	Right	32.78
Wendtii	No	Wendtii_pigment_4	140	Right	39.39
Wendtii	No	Wendtii_pigment_4	150	Right	36.5
Wendtii	No	Wendtii_pigment_4	160	Right	36.5
Wendtii	No	Wendtii_pigment_4	170	Right	38.62
Wendtii	No	Wendtii_pigment_5	0	Right	35.96
Wendtii	No	Wendtii_pigment_5	10	Right	35.24
Wendtii	No	Wendtii_pigment_5	20	Right	37.39
Wendtii	No	Wendtii_pigment_5	30	Right	39.3
Wendtii	No	Wendtii_pigment_5	40	Right	33.33
Wendtii	No	Wendtii_pigment_5	50	Right	28.9
Wendtii	No	Wendtii_pigment_5	60	Right	24.2
Wendtii	No	Wendtii_pigment_5	70	Right	29.28
Wendtii	No	Wendtii_pigment_5	80	Right	33.84
Wendtii	No	Wendtii_pigment_5	90	Right	26.62
Wendtii	No	Wendtii_pigment_5	100	Right	29.1
Wendtii	No	Wendtii_pigment_5	110	Right	30
Wendtii	No	Wendtii_pigment_5	120	Right	33.26
Wendtii	No	Wendtii_pigment_5	130	Right	35.63
Wendtii	No	Wendtii_pigment_5	140	Right	38.63
Wendtii	No	Wendtii_pigment_5	150	Right	41.54
Wendtii	No	Wendtii_pigment_5	160	Right	42.67
Wendtii	No	Wendtii_pigment_5	170	Right	40.9
Wendtii	No	Wendtii_pigment_6	0	Right	5.22
Wendtii	No	Wendtii_pigment_6	10	Right	4.96
Wendtii	No	Wendtii_pigment_6	20	Right	4.16
Wendtii	No	Wendtii_pigment_6	30	Right	17.7
Wendtii	No	Wendtii_pigment_6	40	Right	21.02
Wendtii	No	Wendtii_pigment_6	50	Right	27
Wendtii	No	Wendtii_pigment_6	60	Right	28.9
Wendtii	No	Wendtii_pigment_6	70	Right	24.23
Wendtii	No	Wendtii_pigment_6	80	Right	34.25
Wendtii	No	Wendtii_pigment_6	90	Right	46.45
Wendtii	No	Wendtii_pigment_6	100	Right	45.45
Wendtii	No	Wendtii_pigment_6	110	Right	45.2
Wendtii	No	Wendtii_pigment_6	120	Right	55.1
Wendtii	No	Wendtii_pigment_6	130	Right	56.26
Wendtii	No	Wendtii_pigment_6	140	Right	58.54
Wendtii	No	Wendtii_pigment_6	150	Right	51.44
Wendtii	No	Wendtii_pigment_6	160	Right	58
Wendtii	No	Wendtii_pigment_6	170	Right	60.34
Wendtii	No	Wendtii_pigment_7	0	Right	49.37
Wendtii	No	Wendtii_pigment_7	10	Right	53.2
Wendtii	No	Wendtii_pigment_7	20	Right	58.08
Wendtii	No	Wendtii_pigment_7	30	Right	54.18
Wendtii	No	Wendtii_pigment_7	40	Right	42.94
Wendtii	No	Wendtii_pigment_7	50	Right	44.48
Wendtii	No	Wendtii_pigment_7	60	Right	43.73
Wendtii	No	Wendtii_pigment_7	70	Right	40.09
Wendtii	No	Wendtii_pigment_7	80	Right	40.95
Wendtii	No	Wendtii_pigment_7	90	Right	28.55
Wendtii	No	Wendtii_pigment_7	100	Right	27.19
Wendtii	No	Wendtii_pigment_7	110	Right	27.37
Wendtii	No	Wendtii_pigment_7	120	Right	26.9
Wendtii	No	Wendtii_pigment_7	130	Right	27.03
Wendtii	No	Wendtii_pigment_7	140	Right	28.5
Wendtii	No	Wendtii_pigment_7	150	Right	24.93
Wendtii	No	Wendtii_pigment_7	160	Right	25.88
Wendtii	No	Wendtii_pigment_7	170	Right	24.63
Wendtii	No	Wendtii_pigment_8	0	Right	20.82
Wendtii	No	Wendtii_pigment_8	10	Right	35.79
Wendtii	No	Wendtii_pigment_8	20	Right	27.8
Wendtii	No	Wendtii_pigment_8	30	Right	35.7
Wendtii	No	Wendtii_pigment_8	40	Right	34.42
Wendtii	No	Wendtii_pigment_8	50	Right	32.63
Wendtii	No	Wendtii_pigment_8	60	Right	37.93
Wendtii	No	Wendtii_pigment_8	70	Right	37.3
Wendtii	No	Wendtii_pigment_8	80	Right	34.62
Wendtii	No	Wendtii_pigment_8	90	Right	39.68
Wendtii	No	Wendtii_pigment_8	100	Right	39.01
Wendtii	No	Wendtii_pigment_8	110	Right	38.38
Wendtii	No	Wendtii_pigment_8	120	Right	43.6
Wendtii	No	Wendtii_pigment_8	130	Right	43.83
Wendtii	No	Wendtii_pigment_8	140	Right	48.62
Wendtii	No	Wendtii_pigment_8	150	Right	50.55
Wendtii	No	Wendtii_pigment_8	160	Right	42.82
Wendtii	No	Wendtii_pigment_8	170	Right	44.58
Wendtii	Yes	Wendtii_no_pigment_1	0	Right	65.37
Wendtii	Yes	Wendtii_no_pigment_1	10	Right	57.33
Wendtii	Yes	Wendtii_no_pigment_1	20	Right	55.14
Wendtii	Yes	Wendtii_no_pigment_1	30	Right	45.18
Wendtii	Yes	Wendtii_no_pigment_1	40	Right	45.37
Wendtii	Yes	Wendtii_no_pigment_1	50	Right	46.24
Wendtii	Yes	Wendtii_no_pigment_1	60	Right	56.36
Wendtii	Yes	Wendtii_no_pigment_1	70	Right	52.81
Wendtii	Yes	Wendtii_no_pigment_1	80	Right	60.71
Wendtii	Yes	Wendtii_no_pigment_1	90	Right	50.36
Wendtii	Yes	Wendtii_no_pigment_1	100	Right	48.96
Wendtii	Yes	Wendtii_no_pigment_1	110	Right	45.93
Wendtii	Yes	Wendtii_no_pigment_1	120	Right	53.18
Wendtii	Yes	Wendtii_no_pigment_1	130	Right	60.63
Wendtii	Yes	Wendtii_no_pigment_1	140	Right	62.29
Wendtii	Yes	Wendtii_no_pigment_1	150	Right	62.7
Wendtii	Yes	Wendtii_no_pigment_1	160	Right	50.52
Wendtii	Yes	Wendtii_no_pigment_1	170	Right	45.87
Wendtii	Yes	Wendtii_no_pigment_2	0	Right	55.43
Wendtii	Yes	Wendtii_no_pigment_2	10	Right	59.49
Wendtii	Yes	Wendtii_no_pigment_2	20	Right	55.38
Wendtii	Yes	Wendtii_no_pigment_2	30	Right	53.78
Wendtii	Yes	Wendtii_no_pigment_2	40	Right	51.5
Wendtii	Yes	Wendtii_no_pigment_2	50	Right	48.15
Wendtii	Yes	Wendtii_no_pigment_2	60	Right	45.63
Wendtii	Yes	Wendtii_no_pigment_2	70	Right	49.66
Wendtii	Yes	Wendtii_no_pigment_2	80	Right	50.47
Wendtii	Yes	Wendtii_no_pigment_2	90	Right	55.44
Wendtii	Yes	Wendtii_no_pigment_2	100	Right	54.52
Wendtii	Yes	Wendtii_no_pigment_2	110	Right	56.53
Wendtii	Yes	Wendtii_no_pigment_2	120	Right	58.53
Wendtii	Yes	Wendtii_no_pigment_2	130	Right	59.01
Wendtii	Yes	Wendtii_no_pigment_2	140	Right	59.65
Wendtii	Yes	Wendtii_no_pigment_2	150	Right	58.45
Wendtii	Yes	Wendtii_no_pigment_2	160	Right	59.95
Wendtii	Yes	Wendtii_no_pigment_2	170	Right	55.4
Wendtii	Yes	Wendtii_no_pigment_3	0	Right	72.47
Wendtii	Yes	Wendtii_no_pigment_3	10	Right	68.86
Wendtii	Yes	Wendtii_no_pigment_3	20	Right	67.95
Wendtii	Yes	Wendtii_no_pigment_3	30	Right	71.66
Wendtii	Yes	Wendtii_no_pigment_3	40	Right	74.53
Wendtii	Yes	Wendtii_no_pigment_3	50	Right	78.51
Wendtii	Yes	Wendtii_no_pigment_3	60	Right	67.63
Wendtii	Yes	Wendtii_no_pigment_3	70	Right	69.45
Wendtii	Yes	Wendtii_no_pigment_3	80	Right	60.35
Wendtii	Yes	Wendtii_no_pigment_3	90	Right	49.72
Wendtii	Yes	Wendtii_no_pigment_3	100	Right	45.35
Wendtii	Yes	Wendtii_no_pigment_3	110	Right	42.55
Wendtii	Yes	Wendtii_no_pigment_3	120	Right	45.6
Wendtii	Yes	Wendtii_no_pigment_3	130	Right	47.9
Wendtii	Yes	Wendtii_no_pigment_3	140	Right	47.63
Wendtii	Yes	Wendtii_no_pigment_3	150	Right	48.35
Wendtii	Yes	Wendtii_no_pigment_3	160	Right	55.5
Wendtii	Yes	Wendtii_no_pigment_3	170	Right	61.79
Wendtii	Yes	Wendtii_no_pigment_4	0	Right	60.08
Wendtii	Yes	Wendtii_no_pigment_4	10	Right	62.37
Wendtii	Yes	Wendtii_no_pigment_4	20	Right	62.24
Wendtii	Yes	Wendtii_no_pigment_4	30	Right	64.39
Wendtii	Yes	Wendtii_no_pigment_4	40	Right	57.79
Wendtii	Yes	Wendtii_no_pigment_4	50	Right	54.87
Wendtii	Yes	Wendtii_no_pigment_4	60	Right	54.24
Wendtii	Yes	Wendtii_no_pigment_4	70	Right	57.77
Wendtii	Yes	Wendtii_no_pigment_4	80	Right	62.38
Wendtii	Yes	Wendtii_no_pigment_4	90	Right	69.77
Wendtii	Yes	Wendtii_no_pigment_4	100	Right	62.5
Wendtii	Yes	Wendtii_no_pigment_4	110	Right	57.91
Wendtii	Yes	Wendtii_no_pigment_4	120	Right	63.16
Wendtii	Yes	Wendtii_no_pigment_4	130	Right	59.88
Wendtii	Yes	Wendtii_no_pigment_4	140	Right	62.79
Wendtii	Yes	Wendtii_no_pigment_4	150	Right	62
Wendtii	Yes	Wendtii_no_pigment_4	160	Right	58.12
Wendtii	Yes	Wendtii_no_pigment_4	170	Right	55.87
Wendtii	Yes	Wendtii_no_pigment_5	0	Right	64.83
Wendtii	Yes	Wendtii_no_pigment_5	10	Right	61.17
Wendtii	Yes	Wendtii_no_pigment_5	20	Right	56.74
Wendtii	Yes	Wendtii_no_pigment_5	30	Right	55.21
Wendtii	Yes	Wendtii_no_pigment_5	40	Right	52.22
Wendtii	Yes	Wendtii_no_pigment_5	50	Right	54.18
Wendtii	Yes	Wendtii_no_pigment_5	60	Right	50.53
Wendtii	Yes	Wendtii_no_pigment_5	70	Right	64.68
Wendtii	Yes	Wendtii_no_pigment_5	80	Right	70.35
Wendtii	Yes	Wendtii_no_pigment_5	90	Right	68.61
Wendtii	Yes	Wendtii_no_pigment_5	100	Right	69.6
Wendtii	Yes	Wendtii_no_pigment_5	110	Right	61.44
Wendtii	Yes	Wendtii_no_pigment_5	120	Right	69.7
Wendtii	Yes	Wendtii_no_pigment_5	130	Right	58.33
Wendtii	Yes	Wendtii_no_pigment_5	140	Right	55.25
Wendtii	Yes	Wendtii_no_pigment_5	150	Right	49.42
Wendtii	Yes	Wendtii_no_pigment_5	160	Right	48.83
Wendtii	Yes	Wendtii_no_pigment_5	170	Right	50.3
Wendtii	Yes	Wendtii_no_pigment_6	0	Right	13.99
Wendtii	Yes	Wendtii_no_pigment_6	10	Right	20.46
Wendtii	Yes	Wendtii_no_pigment_6	20	Right	22.91
Wendtii	Yes	Wendtii_no_pigment_6	30	Right	36.41
Wendtii	Yes	Wendtii_no_pigment_6	40	Right	36.45
Wendtii	Yes	Wendtii_no_pigment_6	50	Right	36.29
Wendtii	Yes	Wendtii_no_pigment_6	60	Right	37.46
Wendtii	Yes	Wendtii_no_pigment_6	70	Right	37.8
Wendtii	Yes	Wendtii_no_pigment_6	80	Right	47.6
Wendtii	Yes	Wendtii_no_pigment_6	90	Right	52.15
Wendtii	Yes	Wendtii_no_pigment_6	100	Right	52.19
Wendtii	Yes	Wendtii_no_pigment_6	110	Right	58.11
Wendtii	Yes	Wendtii_no_pigment_6	120	Right	68.83
Wendtii	Yes	Wendtii_no_pigment_6	130	Right	74.88
Wendtii	Yes	Wendtii_no_pigment_6	140	Right	79.43
Wendtii	Yes	Wendtii_no_pigment_6	150	Right	79.85
Wendtii	Yes	Wendtii_no_pigment_6	160	Right	72.92
Wendtii	Yes	Wendtii_no_pigment_6	170	Right	73.75
Wendtii	Yes	Wendtii_no_pigment_7	0	Right	60.03
Wendtii	Yes	Wendtii_no_pigment_7	10	Right	59.59
Wendtii	Yes	Wendtii_no_pigment_7	20	Right	63.91
Wendtii	Yes	Wendtii_no_pigment_7	30	Right	64.6
Wendtii	Yes	Wendtii_no_pigment_7	40	Right	54.2
Wendtii	Yes	Wendtii_no_pigment_7	50	Right	59
Wendtii	Yes	Wendtii_no_pigment_7	60	Right	58.91
Wendtii	Yes	Wendtii_no_pigment_7	70	Right	62.68
Wendtii	Yes	Wendtii_no_pigment_7	80	Right	66.06
Wendtii	Yes	Wendtii_no_pigment_7	90	Right	66.79
Wendtii	Yes	Wendtii_no_pigment_7	100	Right	63.25
Wendtii	Yes	Wendtii_no_pigment_7	110	Right	63.89
Wendtii	Yes	Wendtii_no_pigment_7	120	Right	65.01
Wendtii	Yes	Wendtii_no_pigment_7	130	Right	60.34
Wendtii	Yes	Wendtii_no_pigment_7	140	Right	59.27
Wendtii	Yes	Wendtii_no_pigment_7	150	Right	59.46
Wendtii	Yes	Wendtii_no_pigment_7	160	Right	56.1
Wendtii	Yes	Wendtii_no_pigment_7	170	Right	53.31
Wendtii	Yes	Wendtii_no_pigment_8	0	Right	37.74
Wendtii	Yes	Wendtii_no_pigment_8	10	Right	44.47
Wendtii	Yes	Wendtii_no_pigment_8	20	Right	56.78
Wendtii	Yes	Wendtii_no_pigment_8	30	Right	52.43
Wendtii	Yes	Wendtii_no_pigment_8	40	Right	62.91
Wendtii	Yes	Wendtii_no_pigment_8	50	Right	61.88
Wendtii	Yes	Wendtii_no_pigment_8	60	Right	63.28
Wendtii	Yes	Wendtii_no_pigment_8	70	Right	70.66
Wendtii	Yes	Wendtii_no_pigment_8	80	Right	61.14
Wendtii	Yes	Wendtii_no_pigment_8	90	Right	64.92
Wendtii	Yes	Wendtii_no_pigment_8	100	Right	60
Wendtii	Yes	Wendtii_no_pigment_8	110	Right	66.1
Wendtii	Yes	Wendtii_no_pigment_8	120	Right	65.47
Wendtii	Yes	Wendtii_no_pigment_8	130	Right	60.95
Wendtii	Yes	Wendtii_no_pigment_8	140	Right	66.29
Wendtii	Yes	Wendtii_no_pigment_8	150	Right	63.91
Wendtii	Yes	Wendtii_no_pigment_8	160	Right	65.88
Wendtii	Yes	Wendtii_no_pigment_8	170	Right	68.77
Pumila	No	Pumila_1	0	Right	41.77
Pumila	No	Pumila_1	10	Right	39.37
Pumila	No	Pumila_1	20	Right	39.62
Pumila	No	Pumila_1	30	Right	41.3
Pumila	No	Pumila_1	40	Right	46.2
Pumila	No	Pumila_1	50	Right	43
Pumila	No	Pumila_1	60	Right	47.7
Pumila	No	Pumila_1	70	Right	55
Pumila	No	Pumila_1	80	Right	59
Pumila	No	Pumila_1	90	Right	74.2
Pumila	No	Pumila_1	100	Right	64.1
Pumila	No	Pumila_1	110	Right	69.7
Pumila	No	Pumila_1	120	Right	66.5
Pumila	No	Pumila_1	130	Right	66.2
Pumila	No	Pumila_1	140	Right	63.4
Pumila	No	Pumila_1	150	Right	57.8
Pumila	No	Pumila_1	160	Right	56.6
Pumila	No	Pumila_1	170	Right	58.2
Pumila	No	Pumila_2	0	Right	40.24
Pumila	No	Pumila_2	10	Right	35.79
Pumila	No	Pumila_2	20	Right	41.16
Pumila	No	Pumila_2	30	Right	42.57
Pumila	No	Pumila_2	40	Right	49.4
Pumila	No	Pumila_2	50	Right	44.86
Pumila	No	Pumila_2	60	Right	51.84
Pumila	No	Pumila_2	70	Right	54.6
Pumila	No	Pumila_2	80	Right	50.46
Pumila	No	Pumila_2	90	Right	55.09
Pumila	No	Pumila_2	100	Right	53.97
Pumila	No	Pumila_2	110	Right	59.6
Pumila	No	Pumila_2	120	Right	59.47
Pumila	No	Pumila_2	130	Right	53.48
Pumila	No	Pumila_2	140	Right	55.63
Pumila	No	Pumila_2	150	Right	56.12
Pumila	No	Pumila_2	160	Right	63.62
Pumila	No	Pumila_2	170	Right	55.58
Pumila	No	Pumila_3	0	Right	NA
Pumila	No	Pumila_3	10	Right	NA
Pumila	No	Pumila_3	20	Right	NA
Pumila	No	Pumila_3	30	Right	NA
Pumila	No	Pumila_3	40	Right	NA
Pumila	No	Pumila_3	50	Right	NA
Pumila	No	Pumila_3	60	Right	NA
Pumila	No	Pumila_3	70	Right	NA
Pumila	No	Pumila_3	80	Right	NA
Pumila	No	Pumila_3	90	Right	NA
Pumila	No	Pumila_3	100	Right	NA
Pumila	No	Pumila_3	110	Right	NA
Pumila	No	Pumila_3	120	Right	NA
Pumila	No	Pumila_3	130	Right	NA
Pumila	No	Pumila_3	140	Right	NA
Pumila	No	Pumila_3	150	Right	NA
Pumila	No	Pumila_3	160	Right	NA
Pumila	No	Pumila_3	170	Right	NA
Pumila	No	Pumila_4	0	Right	35.87
Pumila	No	Pumila_4	10	Right	32.88
Pumila	No	Pumila_4	20	Right	28.61
Pumila	No	Pumila_4	30	Right	21.8
Pumila	No	Pumila_4	40	Right	17.1
Pumila	No	Pumila_4	50	Right	22.91
Pumila	No	Pumila_4	60	Right	20.96
Pumila	No	Pumila_4	70	Right	16.87
Pumila	No	Pumila_4	80	Right	19.69
Pumila	No	Pumila_4	90	Right	25.64
Pumila	No	Pumila_4	100	Right	30.21
Pumila	No	Pumila_4	110	Right	30.28
Pumila	No	Pumila_4	120	Right	31.91
Pumila	No	Pumila_4	130	Right	40.73
Pumila	No	Pumila_4	140	Right	41.92
Pumila	No	Pumila_4	150	Right	54.89
Pumila	No	Pumila_4	160	Right	49.76
Pumila	No	Pumila_4	170	Right	45
Pumila	No	Pumila_5	0	Right	56.25
Pumila	No	Pumila_5	10	Right	62.6
Pumila	No	Pumila_5	20	Right	66.2
Pumila	No	Pumila_5	30	Right	73.48
Pumila	No	Pumila_5	40	Right	74.05
Pumila	No	Pumila_5	50	Right	67.6
Pumila	No	Pumila_5	60	Right	69.74
Pumila	No	Pumila_5	70	Right	50.54
Pumila	No	Pumila_5	80	Right	43.63
Pumila	No	Pumila_5	90	Right	40.86
Pumila	No	Pumila_5	100	Right	35.87
Pumila	No	Pumila_5	110	Right	38.66
Pumila	No	Pumila_5	120	Right	35.5
Pumila	No	Pumila_5	130	Right	31.9
Pumila	No	Pumila_5	140	Right	32.1
Pumila	No	Pumila_5	150	Right	31.48
Pumila	No	Pumila_5	160	Right	38.88
Pumila	No	Pumila_5	170	Right	33.69
Pumila	No	Pumila_6	0	Right	49.78
Pumila	No	Pumila_6	10	Right	44.49
Pumila	No	Pumila_6	20	Right	42.675
Pumila	No	Pumila_6	30	Right	40.86
Pumila	No	Pumila_6	40	Right	42.13
Pumila	No	Pumila_6	50	Right	43.71
Pumila	No	Pumila_6	60	Right	46.81
Pumila	No	Pumila_6	70	Right	49.98
Pumila	No	Pumila_6	80	Right	44.64
Pumila	No	Pumila_6	90	Right	42.15
Pumila	No	Pumila_6	100	Right	45.6
Pumila	No	Pumila_6	110	Right	47.7
Pumila	No	Pumila_6	120	Right	48
Pumila	No	Pumila_6	130	Right	48.53
Pumila	No	Pumila_6	140	Right	51.83
Pumila	No	Pumila_6	150	Right	51.2
Pumila	No	Pumila_6	160	Right	51.83
Pumila	No	Pumila_6	170	Right	52.55
Pumila	No	Pumila_7	0	Right	46.72
Pumila	No	Pumila_7	10	Right	48.33
Pumila	No	Pumila_7	20	Right	54.44
Pumila	No	Pumila_7	30	Right	52.82
Pumila	No	Pumila_7	40	Right	59.88
Pumila	No	Pumila_7	50	Right	53.91
Pumila	No	Pumila_7	60	Right	41.41
Pumila	No	Pumila_7	70	Right	38
Pumila	No	Pumila_7	80	Right	33.57
Pumila	No	Pumila_7	90	Right	38.55
Pumila	No	Pumila_7	100	Right	44.33
Pumila	No	Pumila_7	110	Right	49.43
Pumila	No	Pumila_7	120	Right	49.67
Pumila	No	Pumila_7	130	Right	47.49
Pumila	No	Pumila_7	140	Right	60.55
Pumila	No	Pumila_7	150	Right	68.36
Pumila	No	Pumila_7	160	Right	67.46
Pumila	No	Pumila_7	170	Right	63.96
Pumila	No	Pumila_8	0	Right	74.72
Pumila	No	Pumila_8	10	Right	73.02
Pumila	No	Pumila_8	20	Right	65.42
Pumila	No	Pumila_8	30	Right	60.09
Pumila	No	Pumila_8	40	Right	53.28
Pumila	No	Pumila_8	50	Right	55.78
Pumila	No	Pumila_8	60	Right	45.52
Pumila	No	Pumila_8	70	Right	46.91
Pumila	No	Pumila_8	80	Right	41.35
Pumila	No	Pumila_8	90	Right	33.61
Pumila	No	Pumila_8	100	Right	35.38
Pumila	No	Pumila_8	110	Right	38.83
Pumila	No	Pumila_8	120	Right	35.84
Pumila	No	Pumila_8	130	Right	32.3
Pumila	No	Pumila_8	140	Right	41.57
Pumila	No	Pumila_8	150	Right	32.76
Pumila	No	Pumila_8	160	Right	37.22
Pumila	No	Pumila_8	170	Right	36.06
