Species	Pigment_gone	Photoreceptor_cell	Image_number	Direction	Angle
Wendtii	No	Wendtii_pigment_6	50	Left	49.24
Wendtii	No	Wendtii_pigment_6	60	Left	48.5
Wendtii	No	Wendtii_pigment_6	70	Left	51.67
Wendtii	No	Wendtii_pigment_6	80	Left	42.83
Wendtii	No	Wendtii_pigment_6	90	Left	35.99
Wendtii	No	Wendtii_pigment_6	100	Left	32.4
Wendtii	No	Wendtii_pigment_6	110	Left	29.8
Wendtii	No	Wendtii_pigment_6	120	Left	26.29
Wendtii	No	Wendtii_pigment_6	130	Left	24.08
Wendtii	No	Wendtii_pigment_6	140	Left	13.6
Wendtii	No	Wendtii_pigment_6	150	Left	21.57
Wendtii	No	Wendtii_pigment_6	160	Left	9.66
Wendtii	No	Wendtii_pigment_6	170	Left	15.34
Wendtii	No	Wendtii_pigment_7	0	Left	25.54
Wendtii	No	Wendtii_pigment_7	10	Left	24.16
Wendtii	No	Wendtii_pigment_7	20	Left	23.1
Wendtii	No	Wendtii_pigment_7	30	Left	26.17
Wendtii	No	Wendtii_pigment_7	40	Left	23.88
Wendtii	No	Wendtii_pigment_7	50	Left	31.35
Wendtii	No	Wendtii_pigment_7	60	Left	29.84
Wendtii	No	Wendtii_pigment_7	70	Left	32.03
Wendtii	No	Wendtii_pigment_7	80	Left	32.36
Wendtii	No	Wendtii_pigment_7	90	Left	33.1
Wendtii	No	Wendtii_pigment_7	100	Left	30.43
Wendtii	No	Wendtii_pigment_7	110	Left	31.95
Wendtii	No	Wendtii_pigment_7	120	Left	30.15
Wendtii	No	Wendtii_pigment_7	130	Left	31.25
Wendtii	No	Wendtii_pigment_7	140	Left	39.96
Wendtii	No	Wendtii_pigment_7	150	Left	51.81
Wendtii	No	Wendtii_pigment_7	160	Left	53.44
Wendtii	No	Wendtii_pigment_7	170	Left	52.85
Wendtii	No	Wendtii_pigment_8	0	Left	38.4
Wendtii	No	Wendtii_pigment_8	10	Left	34.24
Wendtii	No	Wendtii_pigment_8	20	Left	42.14
Wendtii	No	Wendtii_pigment_8	30	Left	37.25
Wendtii	No	Wendtii_pigment_8	40	Left	36.7
Wendtii	No	Wendtii_pigment_8	50	Left	28.67
Wendtii	No	Wendtii_pigment_8	60	Left	27.9
Wendtii	No	Wendtii_pigment_8	70	Left	28.28
Wendtii	No	Wendtii_pigment_8	80	Left	26.48
Wendtii	No	Wendtii_pigment_8	90	Left	26.57
Wendtii	No	Wendtii_pigment_8	100	Left	25.67
Wendtii	No	Wendtii_pigment_8	110	Left	28.88
Wendtii	No	Wendtii_pigment_8	120	Left	28.8
Wendtii	No	Wendtii_pigment_8	130	Left	28.84
Wendtii	No	Wendtii_pigment_8	140	Left	22.83
Wendtii	No	Wendtii_pigment_8	150	Left	27.88
Wendtii	No	Wendtii_pigment_8	160	Left	6.7
Wendtii	No	Wendtii_pigment_8	170	Left	23.41
Wendtii	Yes	Wendtii_no_pigment_1	0	Left	38.53
Wendtii	Yes	Wendtii_no_pigment_1	10	Left	40.03
Wendtii	Yes	Wendtii_no_pigment_1	20	Left	46.75
Wendtii	Yes	Wendtii_no_pigment_1	30	Left	50.08
